Room_Capacity,Module,Registered_Students,Hour,Date,Room,Occupancy,Avg_Count_60min,Avg_Count_30min,Avg_Adj_Count_60min,Avg_Adj_Count_30min
220,COMP30010,79.0,9,2015-11-04,B004,0.25,29.545454545454547,32.6,0.134297520661157,0.14818181818181814
220,Vacant,-1.0,10,2015-11-04,B004,0.0,7.083333333333333,3.6666666666666665,0.032196969696969696,0.016666666666666666
220,COMP20020,98.0,11,2015-11-04,B004,0.25,59.63636363636363,61.333333333333336,0.2710743801652893,0.2787878787878788
220,COMP20130,74.0,12,2015-11-04,B004,0.5,60.90909090909091,71.75,0.2768595041322314,0.3261363636363636
220,Vacant,-1.0,13,2015-11-04,B004,0.0,14.166666666666666,14.833333333333334,0.06439393939393939,0.06742424242424243
220,Vacant,-1.0,14,2015-11-04,B004,0.0,8.916666666666666,9.166666666666666,0.04053030303030302,0.041666666666666664
220,COMP30070,84.0,15,2015-11-04,B004,0.0,1.5454545454545454,1.1666666666666667,0.007024793388429753,0.005303030303030303
220,Vacant,-1.0,16,2015-11-04,B004,0.0,0.5454545454545454,0.75,0.0024793388429752068,0.003409090909090909
220,COMP41450 & COMP30120,143.0,9,2015-11-05,B004,1.0,192.91666666666666,226.83333333333334,0.8768939393939393,1.031060606060606
220,MATH10130,56.0,10,2015-11-05,B004,0.25,34.18181818181818,40.333333333333336,0.15537190082644628,0.18333333333333335
220,COMP30080,139.0,11,2015-11-05,B004,0.25,63.3,70.0,0.2877272727272727,0.3181818181818182
220,COMP20070,107.0,12,2015-11-05,B004,0.25,44.333333333333336,50.2,0.20151515151515154,0.22818181818181818
220,COMP10110,113.0,13,2015-11-05,B004,0.5,88.5,101.16666666666667,0.40227272727272717,0.4598484848484848
220,ENVB30110,83.0,14,2015-11-05,B004,0.25,60.18181818181818,69.5,0.2735537190082645,0.3159090909090909
220,Vacant,-1.0,15,2015-11-05,B004,0.0,0.25,0.16666666666666666,0.0011363636363636363,0.0007575757575757576
220,COMP20010,108.0,16,2015-11-05,B004,0.0,0.0,0.0,0.0,0.0
220,Vacant,-1.0,9,2015-11-06,B004,0.0,10.916666666666666,9.6,0.04962121212121212,0.04363636363636364
220,MATH10200,96.0,10,2015-11-06,B004,0.5,59.0,66.16666666666667,0.2681818181818182,0.3007575757575758
220,COMP30070,84.0,11,2015-11-06,B004,0.25,30.25,31.666666666666668,0.13749999999999998,0.14393939393939392
220,Vacant,-1.0,12,2015-11-06,B004,0.25,4.916666666666667,1.5,0.02234848484848485,0.006818181818181818
220,COMP20110,103.0,13,2015-11-06,B004,0.5,49.2,48.4,0.22363636363636363,0.22000000000000003
220,COMP10110,113.0,14,2015-11-06,B004,0.25,138.25,128.33333333333334,0.6284090909090909,0.5833333333333334
220,COMP30220,38.0,15,2015-11-06,B004,0.0,11.666666666666666,9.2,0.05303030303030303,0.041818181818181824
220,Vacant,-1.0,16,2015-11-06,B004,0.0,1.4166666666666667,1.3333333333333333,0.00643939393939394,0.006060606060606061
220,COMP30010,79.0,9,2015-11-09,B004,0.25,25.545454545454547,29.166666666666668,0.11611570247933883,0.13257575757575754
220,IS40640,49.0,10,2015-11-09,B004,0.25,31.416666666666668,32.5,0.1428030303030303,0.14772727272727273
220,IS40640,49.0,11,2015-11-09,B004,0.25,34.27272727272727,35.4,0.15578512396694214,0.16090909090909092
220,COMP20020,98.0,12,2015-11-09,B004,0.25,61.0,66.33333333333333,0.2772727272727273,0.3015151515151515
220,Booked by School of CS (no other data available),0.0,13,2015-11-09,B004,0.25,6.909090909090909,7.0,0.03140495867768595,0.031818181818181815
220,SCI30060,66.0,14,2015-11-09,B004,0.25,41.666666666666664,43.0,0.18939393939393942,0.19545454545454546
220,COMP41110,19.0,15,2015-11-09,B004,0.5,70.66666666666667,78.2,0.3212121212121212,0.3554545454545454
220,Vacant,-1.0,16,2015-11-09,B004,0.25,12.916666666666666,6.833333333333333,0.058712121212121195,0.031060606060606063
220,COMP41450 & COMP30120,143.0,9,2015-11-10,B004,0.25,62.0,67.83333333333333,0.2818181818181818,0.30833333333333335
220,COMP10130,112.0,10,2015-11-10,B004,0.25,110.41666666666667,123.0,0.5018939393939393,0.5590909090909092
220,COMP20070,107.0,11,2015-11-10,B004,0.25,53.75,69.66666666666667,0.2443181818181818,0.3166666666666666
220,COMP30080,139.0,12,2015-11-10,B004,0.25,87.45454545454545,91.33333333333333,0.3975206611570247,0.4151515151515151
220,COMP20110,103.0,13,2015-11-10,B004,0.25,51.72727272727273,56.5,0.23512396694214877,0.25681818181818183
220,STAT40150,0.0,14,2015-11-10,B004,0.5,66.45454545454545,71.0,0.3020661157024793,0.3227272727272727
220,COMP20010,108.0,15,2015-11-10,B004,0.25,52.833333333333336,65.8,0.24015151515151514,0.29909090909090913
220,Vacant,-1.0,16,2015-11-10,B004,0.0,2.6666666666666665,1.1666666666666667,0.012121212121212121,0.0053030303030303025
220,COMP30010,79.0,9,2015-11-11,B004,0.0,22.90909090909091,24.333333333333332,0.10413223140495868,0.1106060606060606
220,Vacant,-1.0,10,2015-11-11,B004,0.0,3.5833333333333335,1.4,0.016287878787878785,0.006363636363636363
220,COMP20020,98.0,11,2015-11-11,B004,0.25,51.54545454545455,51.166666666666664,0.23429752066115703,0.23257575757575757
220,COMP20130,74.0,12,2015-11-11,B004,0.25,60.333333333333336,71.5,0.27424242424242423,0.325
220,Vacant,-1.0,13,2015-11-11,B004,0.0,7.4,7.166666666666667,0.03363636363636364,0.03257575757575757
220,Vacant,-1.0,14,2015-11-11,B004,0.0,12.166666666666666,12.4,0.0553030303030303,0.05636363636363636
220,COMP30070,84.0,15,2015-11-11,B004,0.0,35.25,36.8,0.16022727272727275,0.16727272727272727
220,Vacant,-1.0,16,2015-11-11,B004,0.0,5.666666666666667,2.1666666666666665,0.025757575757575757,0.00984848484848485
220,COMP41450 & COMP30120,143.0,9,2015-11-12,B004,0.5,73.45454545454545,91.0,0.3338842975206612,0.41363636363636364
220,MATH10130,56.0,10,2015-11-12,B004,0.5,29.916666666666668,36.4,0.13598484848484851,0.16545454545454547
220,COMP30080,139.0,11,2015-11-12,B004,0.25,49.416666666666664,69.0,0.22462121212121208,0.31363636363636366
220,COMP20070,107.0,12,2015-11-12,B004,0.25,51.54545454545455,52.333333333333336,0.23429752066115703,0.23787878787878788
220,COMP10110,113.0,13,2015-11-12,B004,0.5,73.75,85.5,0.3352272727272727,0.38863636363636367
220,ENVB30110,83.0,14,2015-11-12,B004,0.5,46.0,52.2,0.20909090909090913,0.23727272727272725
220,Vacant,-1.0,15,2015-11-12,B004,0.25,1.1666666666666667,0.3333333333333333,0.0053030303030303025,0.0015151515151515152
220,COMP20010,108.0,16,2015-11-12,B004,0.0,51.166666666666664,57.166666666666664,0.23257575757575755,0.25984848484848483
220,Vacant,-1.0,9,2015-11-13,B004,0.0,6.583333333333333,4.333333333333333,0.029924242424242426,0.019696969696969695
220,MATH10200,96.0,10,2015-11-13,B004,0.0,54.27272727272727,57.166666666666664,0.24669421487603307,0.25984848484848483
220,COMP30070,84.0,11,2015-11-13,B004,0.0,32.81818181818182,34.166666666666664,0.14917355371900823,0.1553030303030303
220,Vacant,-1.0,12,2015-11-13,B004,0.0,6.583333333333333,5.0,0.029924242424242426,0.022727272727272728
220,COMP20110,103.0,13,2015-11-13,B004,0.0,24.916666666666668,21.0,0.11325757575757574,0.09545454545454544
220,COMP10110,113.0,14,2015-11-13,B004,0.5,104.0,117.0,0.4727272727272727,0.5318181818181817
220,COMP30220,38.0,15,2015-11-13,B004,0.5,4.833333333333333,4.0,0.02196969696969697,0.018181818181818184
220,Vacant,-1.0,16,2015-11-13,B004,0.0,0.16666666666666666,0.16666666666666666,0.0007575757575757576,0.0007575757575757576
